ville - village,provinces,communes
bangaye,,po
bangaye,,sapone
bangayeni,,kombissiri
bangbily,,sapouy
bangharia,,soaw
banghingo,,sabou
bangin,,koudougou
bangkiemde-bangre,,kokologho
bangkiemde-bangre,,ziga
bangleongo,,pissila
bangma,,pibaore
bangmiougou,,pensa
bango,,namissiguima 02
bangoghin,,mane
bangonagji,,korsimoro
bangou,,kaya
bangou,,dablo
bangoula,,barsalogho
bangre,,zeguedeguin
bangre,,yalgo
bangrin,,tougouri
bangrin,,nagbingou
bangrin,,dargo
banguel,,bouroum
banguel,,boulsa
banguel,,boala
banguessom,,zimtenga
banguessom,,tikare
banguissom,,sabce
banh,,nassere
bani,,kongoussi
bani,,guibare
bani,,bourzanga
bani,,yargo
bani,,pouytenga
bani,,koupela
banidjoari,,kando
banie,,dialgaye
baniel,,baskoure
banikani,,yargatenga
banikidi,,zabre
baniou,,tenkodogo
banipoule,,niaogo
banipouo,,bissiga
bankandi,,beguedo
bankartougou,,tanghin-dassouri
bankienga,,saaba
bankoni,,koubri
bankora,,komsilga
bankorosso,,sindou
bankouma,,niankorodougou
bankouma,,dakoro
bankouma,,tiefora
bankoumana,,sideradougou
bankoumani,,niangoloko
bankoumani,,mangodara
bankuy,,beregadougou
banliboara,,banfora
banlo,,tougan
banoassi,,toeni
banogo,,kiembara
banon,,dedougou
banou,,djibasso (kossi)
banou,,tansila
banouba,,solenzo
bansie,,sanaba
bantara,,poura
bantarga,,pâ
bantienima,,bana
bantogdo,,
bantoini,,
bantole,,
bantombo,,
bantouankpeba,,
bantougri,,
banwali,,
banwela,,
banyera,,
banyida,,
banzon,,
bao,,
baobokin,,
baoghin,,
baoguin,,
baonroure,,
baoudoumboin,,
baouiga,,
baouiga-yorgo,,
bapania,,
bapla,,
bapla-birifor,,
bapore,,
baporo,,
bara,,
bara,,
bara-yankasso,,
baraboule,,
baragho,,
barama,,
baranguira,,
barani,,
barantiangou,,
barao,,
bardiadeni,,
bare,,
bare,,
barelgo,,
barga,,
barga,,
barga-mossi,,
barga-peulh,,
barganse,,
barganse-peulh,,
bargare,,
bargo,,
bargo,,
bargo,,
bargo,,
barhiaga,,
baribsi,,
baribsi,,
barikala,,
barimagou,,
barindia,,
barkeperena,,
barkoudouba,,
barkoura,,
barkoura,,
barkpera,,
barkuitenga,,
barkuy,,
barla,,
barma-mossi,,
barma-yarce,,
barogo,,
barouli,,
barpoa,,
barra,,
barre,,
barro,,
barsa,,
barsalogho,,
barse,,
barsera,,
bartiaga,,
bartiboagou,,
bartiebougou,,
bartiebougou-peulh,,
barwagdin,,
basbatenga,,
basbedo,,
basbedo,,
basbedo,,
basbedo,,
basberike,,
bascoma,,
bascouda,,
basgana,,
basgouema,,
baskare,,
baskondo,,
baskouda,,
baskoudre-mossi,,
baskoudre-peulh,,
baskoure,,
baskoure,,
basma,,
basnere,,
basnere,,
basnere,,
basnere,,
basnere,,
bassabliga,,
bassagoulo,,
bassam,,
bassambily,,
bassan,,
bassana,,
bassantinga,,
bassaouassa,,
bassare,,
bassawarga,,
basse,,
basse,,
basse-fulbe,,
basseko,,
bassemkoukouri,,
bassemyam,,
bassi,,
bassieri,,
bassindingo,,
bassintare,,
bassouan,,
bassoungoro,,
bastioua,,
baszaido,,
basziri,,
basziri,,
batanga,,
bate,,
batenga,,
batiara,,
batibogou,,
batie-ble,,
batiele,,
batiene,,
batinga,,
batondo,,
batono,,
batoungouana,,
battiti,,
batto,,
bavigue-ka,,
bavila,,
bavohoun,,
bawe-bininbom,,
bawe-dara,,
bawenne,,
bayandi,,
bayandi,,
bayandi,,
baye,,
