ville - village,provinces,communes
dogna,,
dogomnogo,,
dogossesso,,
dogotelama,,
dogtenga,,
dogtenga,,
doh,,
doh,,
dohoun,,
dohoure,,
dokita,,
dokoura,,
dokuy,,
dola,,
dolindia,,
dolle,,
dollo-tangassogo,,
dolo,,
doloba,,
dolonsie,,
dolonyoura,,
dombiere,,
dombre,,
domoni,,
dompo,,
domser,,
don,,
donafara,,
doncin,,
dondolle,,
dondombene,,
dondoulma,,
done,,
donfara,,
dongdona,,
dongo,,
donka,,
donko,,
donko-tambili,,
donkomena,,
donkoro,,
donkua,,
donombene,,
donon,,
donre,,
donsene,,
donsene-yarce,,
donsin,,
donsin,,
donsin,,
donsin,,
donsin,,
donssiere,,
dora,,
dore,,
doria,,
doro,,
doro,,
dorokuy,,
dorona,,
dorongou,,
dorossiamasso,,
dosborgo,,
dossa,,
dossa-badala,,
dossa-bourondi,,
dossi,,
dotoka,,
dou,,
douaba,,
douabie,,
douaga,,
douamtenga,,
doubale,,
douban,,
doubare,,
doubguin,,
doubguin-ouantarghin,,
doubiti,,
doubtchari,,
doudou,,
doudou,,
doudou,,
doudou-birifor,,
doufien,,
doufiguisso,,
doufouanou,,
dougasso,,
dougou,,
dougoudioulama,,
dougoumato,,
dougoumato,,
dougouri-ouidi,,
dougre,,
doukbole,,
doule,,
doulou,,
doulougou,,
douloulcy,,
douloumba,,
douma,,
douma,,
doumakele,,
douman,,
doumasser,,
doumbala,,
doumbassa,,
doumbou,,
doumbourla,,
doumbouro,,
doumien,,
doumoukera,,
doumouole,,
doumpoabie-tangassogo,,
doun,,
douna,,
doundegue,,
doundoubangou,,
doundoudougou,,
doundougou,,
doundougou,,
doundouni,,
doungou-nabitenga,,
doungouma,,
dounkomina,,
dounkora,,
dounkora,,
dounkora,,
dounkou,,
dounkoura,,
dounousso,,
dountela,,
dountelo,,
douotaon,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure,,
doure-yarce,,
douro,,
dourou,,
douroukou,,
douroula,,
dourtenga,,
doussare,,
doussi,,
doussoula,,
doutie,,
doutinga,,
dowendou,,
doyana,,
doyana,,
doyana,,
doyera,,
dramandougou,,
driko,,
du,,
du,,
duo,,
duowakuy,,
edie,,
ekeou,,
ekoulkoala,,
elfora,,
elinga,,
enaba,,
essakane,,
essakane,,
essapoun,,
etouaya,,
faaga,,
fabedougou,,
fadar-fadar,,
fadar-fadar,,
fadio,,
fadio,,
fadio-mepeen,,
fadona,,
fafasso,,
fafo,,
fakouna,,
falagountou,,
falguin,,
fallou,,
fama,,
fama,,
famberla,,
famiagara,,
fanfangou,,
fanfiela,,
fangou,,
fanian,,
fanka,,
fankara,,
fantiangou,,
fantou,,
fanwargou,,
faon,,
faougodo,,
fara,,
fara,,
faradjan,,
farakoba,,
farakorosso,,
farakouora,,
farakuy,,
farakuy,,
faramana,,
faramouna,,
faranga,,
farba,,
faro,,
faso-benkadi,,
fassaladougou,,
fatin,,
fatouri,,
fegue,,
felenga,,
felenga-fulbe,,
felewe,,
feneguene,,
ferel,,
fererio,,
ferkane,,
fetary,,
fetekoba,,
feterde,,
feto-dana,,
fetobarabe,,
fetombaga,,
fetombale,,
fetonada,,
fetorane,,
fidialare,,
fido,,
fieezon,,
fien,,
fignana,,
filakora,,
filande,,
fili-fili,,
filiba,,
filio,,
filly,,
fina,,
fing,,
finga,,
fingla,,
fini,,
finlande,,
firka,,
firougou,,
fitien,,
fitingue,,
fo,,
fobiri,,
fobri,,
fofara,,
fofina,,
fofora,,
fogoutte,,
folbombouga,,
folbongou,,
folgou,,
foloni,,
folonzo,,
folpodi,,
fomofesso,,
fonghin,,
foni-boronkin,,
forgui,,
formou,,
foroteon,,
fottigue,,
fouamboanli,,
fouankuy,,
foube,,
foufou,,
fouga,,
fougangoue,,
foulasso,,
foulba,,
foulbado-mossi,,
foulbe,,
foulgo,,
foulgo,,
foulgou,,
foulla,,
foulou-yarce,,
fouly,,
foumbira,,
foumera,,
founa,,
founfouna,,
foungou,,
founzan,,
foura,,
fourbira,,
fourgo,,
fourkoura,,
fourkoussou,,
fourma,,
foursa,,
foutanga,,
foutara,,
fouti,,
foutiri-peulh,,
foutrigui,,
gaboali,,
gaboassi,,
gabonli,,
gabou,,
gabou,,
gabouga,,
gacoula,,
gademtenga,,
gadghin,,
gadiouga,,
gado,,
gagara,,
gagara,,
gagare,,
gagnime,,
gagou,,
gah,,
gaigou,,
gaik-goata,,
gairo,,
gala,,
galgouli,,
galire,,
galla,,
gallo,,
gam-silimimosse,,
gama,,
gamadougou,,
gamala,,
gambaaga,,
gambaghin,,
gambo,,
gambo,,
gamboudeni,,
gamgbo,,
gampela,,
gampougdo-peulh,,
gan,,
gan,,
gana,,
ganagoulo,,
ganagoulo,,
gandado,,
gandafabou-guelgobe,,
gandafabou-kelwele,,
gandaogo,,
gandemtenga,,
gandeongo,,
gandeongo-bogodin,,
gandi,,
gandi,,
gandin,,
gandin,,
gando,,
gando,,
gangalinti,,
gangalma,,
gangana,,
gangani,,
gangaol,,
gangargui,,
gangasse,,
gani,,
gani,,
gankouna,,
ganso,,
ganta,,
gantin,,
gantodogo,,
gantogodo,,
ganwoko,,
ganzaga,,
ganzaga,,
gao,,
gaoga,,
gaon,,
gaonghin,,
gaongo,,
gapar,,
garance,,
garanga,,
garbongou,,
garbougou,,
gardere,,
garga,,
gargaboule,,
gargaoua-peulh,,
gargassa,,
garghin,,
gargo,,
garou,,
garpene,,
garpieni,,
garwende,,
gasdonka,,
gaselnaye,,
gasgo,,
gaskaye,,
gaskinde,,
gaskinde,,
gaskom,,
gasma,,
gasongo,,
gassan,,
gassel,,
gassel,,
gasseliki,,
gasselkoli,,
gasselpate,,
gasseltepaoua,,
gassin,,
gassingo,,
gassougou,,
gastoega,,
gatougou,,
gbadora,,
gbadora-tiopanao,,
gbakonao,,
gbalara,,
gbangbadoteon,,
gbangbankora,,
gbantara,,
gbatari,,
gbedissaga,,
gbelfelela,,
gbingbina,,
gbingue,,
gbokora,,
gbolo,,
gbomblora,,
gbomblora-kpena,,
gbon,,
gbonflera,,
gbongane,,
gbongbo-zodoun,,
gbonko,,
gbonkolou,,
gbonkoro,,
gbonsera,,
gboulougnorra,,
gho,,
ginsenayou,,
gnadia,,
gnafongo,,
gnagdin,,
gnaminadougou,,
gnangbalandouo,,
gnanghin,,
gnansou,,
gnaoue,,
gnassoumadougou,,
gnegneogo,,
gnekouneta,,
gnelintara,,
gnetaya,,
gnifoagma,,
gnigbaman,,
gnignana,,
gnikpiere,,
gnimanou,,
gnimassoum-foulbe,,
gnimbare,,
gnimdi,,
gnimi,,
gnimini,,
gnimitenga,,
gnimpiendi,,
gnindekuy,,
gnindi,,
gninfoagma,,
gninga,,
gninga,,
gninsonguin,,
gnipiema,,
gnitegba,,
gnobtenkoagou,,
gnogzinse,,
gnouambouli,,
gnoumakuy,,
gnoyora,,
go,,
goa,,
goabga,,
goala,,
goala,,
goangoana,,
goaragui,,
goassa,,
gobila,,
gobila,,
goby,,
gode,,
godin,,
godin,,
godin,,
godin-oualogtinga,,
godjir,,
godo,,
godo,,
godyr,,
goema,,
goenega,,
goera,,
goersa,,
goeya,,
gofila,,
goghin,,
goghin,,
goghin,,
goghin,,
goghin,,
goghin,,
goghin,,
goghin,,
goghin,,
gogho,,
gognon,,
gogo,,
gogo,,
gogo,,
gogoma,,
gogombiro,,
gogse,,
goguin,,
goin,,
goko,,
goko,,
gollo,,
golmidou,,
gomasgo,,
gombar,,
gombele,,
gombeledougou,,
gombio,,
gombo-bourfou,,
gombogo,,
gombogo-peulh,,
gombombiro,,
gomboro,,
gombre,,
gombre,,
gombre,,
gomd'hiri,,
gomde-fulbe,,
gome,,
gomin,,
gomkoro,,
gomnaore,,
gomo,,
gomogho,,
gomonsgou,,
gompare,,
gompelgo,,
gomponsom,,
gomtenga,,
gon,,
gon,,
gonadaouri,,
gonbie,,
gonbirera,,
gonboussou,,
gonce,,
gonde-mossi,,
gondekoube,,
gondogo,,
gondogo,,
gondre,,
gonga,,
gonga,,
gongombili-gongone,,
gongombili-kpovera,,
gongombili-paboulona,,
gongombili-yefara,,
gongomboulo,,
gongonboulo,,
gongondi,,
gongone,,
gongone,,
gongongou,,
gongonkar,,
gongontiano,,
gongontionao,,
gongorgou,,
gongorgouol,,
gongoura,,
goni,,
goni,,
gonkin,,
gonna,,
gonon,,
gonre,,
gonse,,
gonse,,
gonse,,
gonse,,
gonsin,,
gonsin,,
gonsin,,
gonsin,,
gontiedougou,,
googho,,
gora,,
goran,,
gorbelle-peulh,,
gorbilin,,
gordaga,,
gorel,,
gorgadji,,
gorgane,,
gorgare,,
gorgo,,
gorgouin,,
gorguel,,
gori,,
gori,,
gori,,
gorin,,
gorin,,
gorkassinghin,,
gorki,,
gorombouli,,
goron,,
goronga,,
gorongorona,,
gorouel,,
gorouol,,
gorouol,,
gorpouly,,
gosbila,,
goseye-site,,
goseye-village,,
gossamandara,,
gossina,,
gosson,,
gossore,,
gotakpoulala,,
gotogou,,
gou,,
gouadiga,,
gouamba,,
gouandougou,,
gouapegue,,
goubi,,
goubla,,
goubre,,
goudayere,,
goudou,,
goudoubo,,
goudri,,
goudrin,,
goue,,
gouengo,,
gouera,,
gouere,,
gougogo,,
gougouriko,,
gougre,,
gouim,,
gouin-gouin,,
gouindougouba,,
gouindougouni,,
gouingo,,
goulagon,,
goulagou,,
goulanda,,
goulgo,,
goulgountou,,
goulgountou,,
goulguin-yarce,,
gouli,,
goulli,,
goulmodjo,,
goulo,,
gouloure,,
gouloure,,
goumba,,
goumi,,
goumogo,,
goumou,,
goumpologo,,
goumsa,,
goumse,,
goumsi,,
goumsin,,
goumtoaga,,
goun,,
gounda,,
goundere,,
goundi,,
goundou,,
goundrin,,
goundry,,
gounga,,
goungam,,
goungha,,
gounghin,,
gounghin,,
gounghin,,
gounghin-grand,,
gounghin-petit,,
goungla,,
goungo,,
goungre,,
goungre,,
gounguin,,
gouni-peulh,,
gounia,,
gounian,,
gountawola,,
gountoure,,
gountoure,,
gountoure,,
gountoure-gnegne,,
gountoure-kiri,,
goupana,,
gouran,,
gourara,,
gourbala,,
gourbare,,
gourbassa,,
gourcy,,
gourcy-tenga,,
gourel-niebe,,
gourgou-samandi,,
gouri,,
gourkpe-soum,,
gourongo,,
gourongo,,
gourou,,
gouroumbila,,
gourpila,,
gourpouo,,
goussi,,
goussirdou,,
goutoula,,
gouyale,,
goyenga,,
gozi,,
grand-bale,,
guedanga,,
guefourgou,,
gueguere,,
guela,,
guelkoto,,
guella,,
guelou,,
guelwongo,,
guelwongo,,
guemsaongo,,
guemsogo-yarce,,
guena,,
guenda,,
guende,,
guenien,,
guenin,,
guere,,
guere-goghin,,
guesna,,
guessel,,
guessere,,
guessoum,,
guessoum,,
gueswende,,
gui,,
guia,,
guian,,
guiaro,,
guiba,,
guiba,,
guibare,,
guibtenga,,
guide,,
guide,,
guidere,,
guidgretinga,,
guidissi,,
guido,,
guiedougou,,
guiemssim,,
guiendbila,,
guiguemtinga,,
guigui,,
guiguima,,
guiguine,,
guilakoura,,
guilan,,
guilegnora,,
guilguin,,
guilla,,
guillan,,
guille,,
guilyende,,
guimba,,
guimbissenao,,
guimboari,,
guimou,,
guingale,,
guini,,
guinoama,,
guinsa,,
guipa,,
guirgo,,
guirgo,,
guirgo,,
guiriguiri,,
guirina,,
guirmogo,,
guirse,,
guisma,,
guissangou,,
guitanga,,
guitanga,,
guitti,,
guizigoron,,
haaba,,
haba,,
habanga,,
habe,,
habre,,
haho,,
haini,,
hakoundel,,
halahera,,
hamayala,,
hamdalaye,,
hamdalaye,,
hamdalaye,,
hamele,,
hamidin,,
hamtiouri,,
hanhui,,
hantom,,
hantoukoura,,
haoura,,
haperekuy,,
harboungou,,
harga,,
harkora,,
hartery,,
hasbialaye,,
hasbihalaye,,
hebrimpono,,
helga,,
helintira,,
hella,,
hellele,,
hello,,
hello-bondo,,
hello-gbankono,,
hemkoa,,
henlekuy,,
heredougou,,
heredougou,,
herou,,
hiela,,
hinga,,
hipiel,,
hitte,,
hobikoko,,
hocoulourou,,
hogga,,
hoggo,,
hoka,,
homogo,,
hondokire,,
horao,,
hore,,
horere,,
hortougou,,
houare,,
houbaye,,
houetiara,,
houieo,,
houkoulourou,,
houlbera,,
houlmana,,
houna,,
ibangfo,,
ibbal,,
ibga,,
ibi,,
ibogo,,
ibolgo,,
ichagamine,,
idamossen,,
idani,,
idenia-kora,,
idenia-moa,,
idenia-tanga,,
idenia-tanga,,
idiou,,
ignongo,,
igondega,,
igori,,
ihoura,,
iki,,
iklan,,
iklan,,
ilabekolon,,
ilartenga,,
iliale,,
illa,,
illigue,,
ilyala,,
ilyalla,,
imasgho,,
imasgo,,
imassoum,,
imatoro,,
imiere,,
imiga,,
imiougou,,
imiougou,,
imiougou-natenga,,
imkouka,,
imougou,,
imsele,,
inabao,,
inagabou,,
inalo,,
inawas,,
incare,,
indini,,
ingane,,
ingani,,
inguilbo,,
inou,,
intangom,,
intara,,
intayalene,,
intiedougou,,
intohini,,
inzele,,
iolonioro,,
ipala,,
ipala,,
ipala,,
ipala,,
ipala,,
ipala,,
ipalla,,
ipelce,,
ipeli,,
ipendo,,
ipiel,,
ippo,,
ipreteon,,
ira,,
irakoulga,,
irbou,,
iria-mossi,,
iria-yarce,,
iridiaka,,
iridie,,
irim,,
irina,,
irino,,
irvouta-tinga-mossi,,
irvouyatenga-silmimossi,,
iryastenga,,
issao,,
issaogo,,
issapougo,,
issigui,,
itaore,,
itaore,,
itaore,,
itaoua,,
itian,,
ividie,,
jougalhiri,,
k'poum,,
ka,,
kaba,,
kabala,,
kabaniora,,
kabare,,
kabaro,,
kabega,,
kabega-peulh,,
kabeika,,
kabga,,
kabirou,,
kabo,,
kabonga,,
kabonga,,
kaboret,,
kaboro,,
kabouda,,
kabougou,,
kabourou,,
kabra,,
kabri,,
kabrikogagogo,,
kacham-est,,
kacham-ouest,,
kachirga,,
kactinga,,
kada,,
kadakouna,,
kadapra,,
kadiel,,
kadio,,
kadjateon,,
kadomba,,
kagamzince,,
kagbogora,,
kagnabougou,,
kagnagara,,
kagtoudin,,
kahin,,
kaho,,
kahome,,
kahonia,,
kaibo-centre,,
kaibo-nord,,
kaibo-nord,,
kaibo-nord,,
kaibo-nord,,
kaibo-sud,,
kaibo-sud,,
kaibo-sud,,
kaibo-sud,,
kaibo-sud,,
kaibo-sud,,
kaibo-sud,,
kaidare,,
kaifona,,
kain,,
kain-ouro,,
kakati,,
kaki,,
kakim,,
kakoumana,,
kala,,
kala,,
kalabo,,
kalagre-mossi,,
kalagre-rimaibe,,
kalamba,,
kalambaogo,,
kalambouro,,
kalamkporo,,
kalamtogo,,
kalao,,
kalari,,
kalarla,,
kalayenou,,
kalbekin,,
kalbouli,,
kalce,,
kaldera,,
kaldiouani,,
kaleboukoura,,
kaleinga,,
kalembaogo,,
kalembouly,,
kalfadougou,,
kaligri,,
kalitaguin,,
kalkome,,
kalkouri,,
kalla,,
kalle,,
kallo,,
kalmama,,
kalmodo,,
kalo,,
kalsagado,,
kalsagado,,
kalsagado,,
kalsaka,,
kalsaka,,
kalsaka,,
kalse,,
kalseo,,
kalwaka,,
kalwartenga,,
kalwenga,,
kalwiga,,
kalzi,,
kama,,
kama,,
kamadena,,
kamaho,,
kamako,,
kamalangora,,
kamandadougou,,
kamandena,,
kamao,,
kamateon,,
kamba,,
kamba,,
kambardebi,,
kambeledaga,,
kambo,,
kamboince,,
kamdaogo-goundrin,,
kamdiokin,,
kamdogo,,
kamedji,,
kamiankoro,,
kamina,,
kamissi,,
kamona,,
kampelsezougou,,
kampene,,
kampidiou,,
kampiti,,
kampoaga,,
kampoaga,,
kampoayargo,,
kampti,,
kampti,,
kamsando,,
kamsansin,,
kamsaoghin,,
kamsaogo,,
kamsaontinga,,
kamse,,
kamse,,
kamse,,
kamse,,
kamse-peulh,,
kamseogo,,
kamseogo-peulh,,
kamsi,,
kamtenga,,
kana,,
kana,,
kana,,
kanabissi-tanga,,
kanadougou,,
kanama,,
kance,,
kanda,,
kanda-kanda,,
kandaga,,
kandaga,,
kandaghin,,
kandarzana,,
kandega,,
kandega,,
kando,,
kando,,
kandoure,,
kanduyo,,
kanega,,
kangala,,
kangare,,
kangare-foulbe,,
kangarin,,
kangotenga,,
kangounaba,,
kangounadeni,,
kangoura,,
kangre,,
kangretenga,,
kaniagara,,
kankalaba,,
kankalsi,,
kankalsi,,
kankamogre,,
kankamogre-peulh,,
kankampele,,
kankande,,
kankandi,,
kankanfogou,,
kankanfogouol,,
kankanghin,,
kankangou,,
kankani,,
kankaniba,,
kankanible,,
kankantchiaga,,
kankantiana,,
kankantiari,,
kankaraboguin,,
kankele,,
kankienga,,
kankoera,,
kankongno,,
kankongo,,
kankono,,
kankoumana,,
kankoura,,
kanle,,
kanono,,
kanougou,,
kanre,,
kanretenga,,
kanrin,,
kansara,,
kansara,,
kanseo,,
kantambari,,
kantari,,
kantchari,,
kanyale,,
kanyire,,
kao,,
kao,,
kaogo,,
kaokana-peulh,,
kaokin,,
kaonce,,
kaonghin,,
kaongho,,
kaongo,,
kaongo,,
kaonguin-sanrgo,,
kapa,,
kapelgo,,
kapon,,
kapongouan,,
kaponi,,
kara-massasso,,
karaba,,
karabole,,
karaborosso,,
karamama,,
karangasso,,
karangasso-sambla,,
karangtanghin,,
karanksso-vigue,,
karasso,,
karbani,,
karbole,,
karegoussi,,
karekuy,,
karekuy,,
karekuy,,
karema,,
karentenga,,
kareo,,
kareta,,
karfara,,
karfiguela,,
karga,,
kargo,,
kargono,,
kari,,
kari,,
kari,,
karimama,,
kario,,
karka,,
karme,,
karo,,
kartasso,,
kartenga,,
kassaho,,
kassakongo,,
kassan,,
kassande,,
kassanga,,
kassaye,,
kasseba-mossi,,
kasseba-samo,,
kasseguera,,
kassila,,
kassine,,
kassiri,,
kassita,,
kasso,,
kassola,,
kassolo-tiabona,,
kassongbie,,
kassougou,,
kassoum,,
katabtenga,,
katafona,,
kataga,,
katana,,
katchari,,
katela,,
katierla,,
kation,,
katogue,,
katolo,,
katoulbere,,
katte,,
kawara,,
kawara,,
kawolo,,
kaya-fabolo,,
kaya-kaforo,,
kaya-kantiolo,,
kaya-korso,,
kaya-navio,,
kaya-poungou,,
kayan,,
kayao,,
kayao,,
kayegue,,
kayero-bo,,
kayero-tio,,
kayio,,
kayon,,
kazanga,,
kebakoro,,
keindabe,,
keindeni,,
keke,,
keke,,
kekeba,,
kekelesso,,
kekelnoda,,
kekenene,,
kel,,
kel,,
kel,,
kel-eguief,,
kelbo,,
keleguem,,
keleguerima,,
kelembali,,
keleya,,
kelfourwane,,
kelgayane,,
kelgbora,,
kelindou,,
kelle,,
keltahont,,
kemena,,
kemenso,,
kenega,,
kenekuy,,
kenema,,
kenemene,,
kenoko,,
kenou,,
keo,,
kera,,
kera,,
kera,,
kera-doure,,
kerebe,,
kerena,,
kerga,,
keri,,
kermagou,,
kessekuy,,
kessombode,,
keulou,,
keyegue,,
kho,,
kia,,
kianghin,,
kibe,,
kibilo,,
kibiri,,
kibtengaye,,
kidiba,,
kidibi,,
kidibin,,
kie,,
kie,,
kiebani,,
kieblega,,
kieblin,,
kiedie,,
kiedpalogo,,
kiedsom,,
kieglesse,,
kiegtougdou,,
kieka-fulbe,,
kielie,,
kiella,,
kielnordy,,
kiema,,
kiembara,,
kiemna-yarce,,
kien,,
kiendbingre,,
kiendembaye,,
kiendpalogo,,
kiendyende,,
kienekuy,,
kienfangue,,
kienkiega,,
kiensere,,
kiere,,
kiere,,
kierga,,
kierguin,,
kierrim,,
kieryaoghin,,
kies,,
kietogo,,
kietou,,
kietou,,
kikideni,,
kikigogo,,
kiko,,
kilimpira,,
kilingbara,,
kilou,,
kilou,,
kilsio,,
kimba,,
kimi,,
kimidougou,,
kimini,,
kimini,,
kimpeo,,
kimpi,,
kimtara,,
kimzim,,
kinana,,
kindi,,
kindi,,
kindi-kombou,,
kindibo,,
kinessoumdi,,
kinga,,
kingria,,
kini-kini,,
kiniwaga,,
kinkan,,
kinkika,,
kinkirgo,,
kinkirou,,
kinkirsgogo,,
kinssery,,
kinzeoguin,,
kioke,,
kiongo,,
kiongo,,
kiougou-doure,,
kiougou-kandaga,,
kiougou-namounou,,
kipala,,
kipala,,
kira,,
kira,,
kira,,
kira,,
kira,,
kirbaka,,
kire,,
kirgou,,
kirgou-gourma,,
kirgou-peulh,,
kirguilounga,,
kirible,,
kirikodogo,,
kirikongo,,
kirio,,
kiripalogo,,
kiro,,
kiro-hari,,
kirsi,,
kirstenga,,
kiryollo,,
kiryomdeni,,
kisbouga,,
kitagou,,
kitobama,,
kleni,,
klesso,,
koa,,
koabdin,,
koabgatenga,,
koada-yarce,,
koadaba,,
koadiga,,
koadjidjoal,,
koagma,,
koakin,,
koakin,,
koakin,,
koakin,,
koakin,,
koakoa,,
koakourima,,
koala,,
koala,,
koalga,,
koali,,
koalla,,
koalma,,
koalou,,
koaltanghin,,
koama,,
koanga,,
koankin,,
koankin,,
koankin,,
koare,,
koassa,,
koassanga,,
koayo,,
koba,,
kobadah,,
kobaoua,,
kobar,,
kobdari,,
kobe,,
kobo,,
kobogo,,
koboun,,
koboundoum,,
koboure,,
kobsere,,
koby,,
kocore,,
kodara,,
kodara,,
kodara,,
kode-mende,,
kodemtore,,
kodemzoaga,,
kodiengou,,
kodio-gboro,,
kodio-sambour,,
kodio-tioblo,,
kodiolaye,,
kodjaari,,
kodjena,,
kodjini,,
kodjoani-kankalsi,,
kodjoani-leoura,,
kodjonti,,
kodogo,,
kodona,,
kodougou,,
koeguemsin,,
koena,,
koena,,
koena,,
koend-zingdemissi,,
koeneba,,
kofila,,
koflande,,
kogdangou,,
kogho,,
kogho-peulh,,
koglobaraogo,,
kogmasgo,,
kogninga,,
kogo,,
kogodi,,
kogodjan,,
kogodou,,
kogola,,
kogoli,,
kogoma,,
kogonere,,
kogonere,,
kogononghin,,
kogori,,
kogossablogo,,
kogossi,,
kogoue,,
kogoue,,
kogoyende,,
koguina,,
koguini,,
kohinena,,
kohinora-sansana,,
koho,,
kohogo,,
kohogo-peulh,,
kohoura,,
koil-pone-gane,,
koin,,
kokanko,,
kokemnore,,
koknoghin,,
koko,,
koko,,
koko,,
kokoaga-ouest,,
kokoi,,
kokolibou,,
kokolo,,
kokologho,,
kokora,,
kokoro,,
kokoroba,,
kokorowe,,
kokosse,,
kokossin,,
kokou,,
kokouna,,
kokouna,,
kolan,,
kolanga,,
kolasso,,
kolbila,,
koledougou,,
kolepar,,
kolgdiesse,,
kolgondiesse,,
kolgosom,,
kolgrogogo,,
kolinka,,
kolkol,,
kolkom,,
kolkom,,
kolkom,,
kolkom,,
kollade,,
kollakoye,,
kolle,,
kollel,,
kollo,,
kollo,,
kollo,,
kologkom,,
kologuessom,,
kolokaka,,
kolokan,,
koloko,,
kolokolo,,
kolokom,,
kolokom,,
kolondjoura,,
kolonia-tangassogo,,
kolonidara,,
kolonkan,,
kolonkan,,
kolonkan,,
kolonkande,,
kolonkani-ba,,
kolonkani-sirakoro,,
kolonkogo,,
kolonkomi,,
kolonkoura,,
kolonkoura,,
kolonkoura,,
kolonzo,,
kolonzo,,
koloog-samba,,
kom-kom-yiri,,
koma,,
koma-lembre,,
komandougou,,
komangou,,
komanpergou,,
kombangbedo,,
kombara,,
kombazien,,
kombeole,,
kombere,,
kombestenga,,
kombilga,,
kombinatenga,,
komboassi,,
komboassi,,
kombongou,,
kombori,,
kombori,,
kombougo,,
kombous-youngo,,
kome,,
komestenga,,
komgnesse,,
komkaga,,
komki-ipala,,
komki-peulh,,
komnogo,,
komoassi,,
komompouma,,
komon,,
komon,,
komona,,
komondi,,
komonga,,
komonkuy,,
komonli,,
kompi,,
kompienbiga,,
kompienga,,
komsila,,
komsilga,,
komsilga,,
komsilga,,
komsilga,,
komsilga,,
komtenga,,
komtigre,,
komtoega,,
komtoega,,
komtoega-peulh,,
komyargo,,
kona,,
kona,,
konakiera,,
konamisse,,
konamo,,
konandia,,
konandougou,,
konankoira,,
konba,,
konba-kinkinine,,
konba-tanzou,,
kond-koikin,,
konde,,
kondibito,,
kondibito,,
kondibito-peulh,,
kondin,,
kondogo,,
kondon,,
kondouagou,,
kondre,,
kondridoaga,,
kondrin,,
kondui,,
kone,,
konean,,
konega,,
konga,,
konga,,
kongara,,
kongaye,,
konglore,,
kongninkin,,
kongoba,,
kongoba,,
kongodiana,,
kongolekan,,
kongolikan,,
kongolikoro,,
kongosso,,
konianwende,,
konioudou,,
konkan,,
konkara,,
konkera,,
konkin,,
konkin-foulgo,,
konkin-moogo,,
konkoa,,
konkoaguin,,
konkoara-yarce,,
konkoliko,,
konkoro,,
konkosse,,
konkourona,,
konkuini,,
konkuisse,,
konkuy-bobo,,
konkuy-koro,,
konlastenga,,
konlebse,,
konli,,
konli,,
konlobwamde,,
konna,,
konnekongo,,
konon,,
kononga,,
kononga,,
kononiba,,
konsabla,,
konsera,,
konsi,,
kontaga,,
kontaga,,
kontaga-peulh,,
kontele,,
konti,,
kontiana,,
kontiandi,,
kontigue,,
kontigue,,
kontigue-silmimossi,,
konvougoudou,,
konyelenbere,,
konzena,,
konzeogo-bangane,,
konzeogo-sambila,,
konzeogo-yalgo,,
konzio,,
konzo,,
kopelin,,
koper,,
kopialga,,
kopoi,,
kora,,
kora-foulbe,,
korabie,,
korabou,,
koran,,
korani,,
koratinga,,
koratinga-peulh,,
korbe,,
kordie,,
kore,,
koreba,,
koredeni,,
koredougou,,
koregnon,,
koreguere,,
korga,,
korgho,,
korgnegane,,
korgoreya,,
korguereya,,
kori,,
koria,,
korindiaka,,
koritigui,,
korizena,,
korkina,,
korko-mossi,,
korko-peulh,,
korkorla,,
koro,,
koro,,
koro,,
koro,,
koro,,
koro,,
koroho,,
korokora,,
koroma,,
korome,,
koromperi,,
korongou,,
koroni,,
korou,,
korro,,
korsimoro,,
koryombo,,
kosmassom,,
kosse,,
kossi,,
kossilci,,
kosso,,
kosso,,
kosso-tier,,
kosso-you,,
kossoba,,
kossodo,,
kossoghin,,
kossoghin,,
kossougoudou,,
kossouka,,
kostenga,,
kostenga,,
koswinde,,
kotchari,,
kotedougou,,
koti,,
kotikora,,
kotou,,
kotoudeni,,
kotougou,,
kotougouni,,
kotoulgoum,,
kotoura,,
kotouri,,
kottia,,
kou,,
kou,,
kouadigou-yamba,,
kouakouale,,
kouakouli,,
koualio,,
koualio,,
kouana,,
kouanda,,
kouankuy,,
kouba,,
kouba,,
kouba,,
koube,,
koubel-alpha,,
koubeo-djoulo,,
koubeogo,,
koubeogo,,
koubi-todiam,,
koubithiou,,
koubongo,,
kouboulou,,
koubounga,,
koubri,,
koudiere,,
koudiorgou,,
koudiougou,,
koudjo,,
koudmi,,
koudombo,,
koudouma,,
kouekouesso,,
kouelworo,,
kouendi,,
kouentou,,
kouere,,
koueredougou,,
kougbaga,,
kougdo,,
kougdoughin,,
koughin,,
koughin,,
koughin-peulh,,
kougny,,
kougoure,,
kougouri,,
kougourin,,
kougoussoula,,
kougpaka,,
kougpela,,
kougri,,
kougri,,
kougri-koulga,,
kougri-koulga,,
kougrisseogo,,
kougrissince,,
kougroussoukou,,
kougsabla,,
kougsin,,
kouhoko,,
koui,,
kouibanka,,
kouidi,,
kouigou,,
kouila,,
kouilpagre,,
kouini,,
kouka,,
kouka,,
kouka,,
koukabako,,
koukabako,,
koukabako,,
koukatenga,,
koukie,,
koukin,,
koukin,,
koukinkuilga,,
koukoadore,,
koukouldi,,
koukoulou,,
koukoundi,,
koukoure,,
koukouteon,,
koukouteon-diendienteon,,
koul-bo,,
koul-campement,,
koul-gane,,
